CNAME,LENGTH,WEIGHT
Rainbow Trout,92,0
Rainbow Trout,103,0
Rainbow Trout,145,0
Rainbow Trout,148,0
Rainbow Trout,104,0
Rainbow Trout,109,0
Rainbow Trout,101,0
Rainbow Trout,103,0
Rainbow Trout,95,0
Rainbow Trout,80,0
Rainbow Trout,120,0
Rainbow Trout,93,0
Rainbow Trout,101,0
Rainbow Trout,113,0
Rainbow Trout,97,0
Rainbow Trout,91,0
Rainbow Trout,87,0
Rainbow Trout,190,85
Rainbow Trout,132,0
Rainbow Trout,101,0
Rainbow Trout,123,0
Rainbow Trout,138,0
Rainbow Trout,153,0
Rainbow Trout,110,0
Rainbow Trout,111,0
Rainbow Trout,92,0
Rainbow Trout,135,0
Rainbow Trout,104,0
Rainbow Trout,94,0
Rainbow Trout,109,0
Rainbow Trout,95,0
Rainbow Trout,95,0
Rainbow Trout,111,0
Rainbow Trout,165,60
Rainbow Trout,175,65
Rainbow Trout,163,55
Rainbow Trout,169,55
Rainbow Trout,158,45
Rainbow Trout,115,23
Rainbow Trout,167,60
Rainbow Trout,142,36
Rainbow Trout,166,50
Rainbow Trout,178,70
Rainbow Trout,104,12
Rainbow Trout,113,18
Rainbow Trout,156,50
Rainbow Trout,164,55
Rainbow Trout,178,65
Rainbow Trout,160,50
Rainbow Trout,110,13.5
Rainbow Trout,115,18.5
Rainbow Trout,150,37
Rainbow Trout,141,32
Rainbow Trout,150,35
Rainbow Trout,159,55
Rainbow Trout,143,35
Rainbow Trout,133,29
Rainbow Trout,109,16.5
Rainbow Trout,151,39
Rainbow Trout,162,50
Rainbow Trout,120,22
Rainbow Trout,116,18
Rainbow Trout,118,19
Rainbow Trout,116,16
Rainbow Trout,104,12.5
Rainbow Trout,125,23
Rainbow Trout,115,19
Rainbow Trout,107,15
Rainbow Trout,114,17
Rainbow Trout,95,9
Rainbow Trout,110,16
Rainbow Trout,155,48
Rainbow Trout,113,16
Rainbow Trout,157,47
Rainbow Trout,161,49
Rainbow Trout,96,10
Rainbow Trout,140,36
Rainbow Trout,107,14
Rainbow Trout,122,20
Rainbow Trout,111,18
Rainbow Trout,108,14
Rainbow Trout,116,16
Rainbow Trout,170,60
Rainbow Trout,160,55
Rainbow Trout,152,50
Rainbow Trout,108,15
Rainbow Trout,111,17
Rainbow Trout,117,17
Rainbow Trout,120,19
Rainbow Trout,110,16
Rainbow Trout,185,75
Rainbow Trout,171,65
Rainbow Trout,173,70
Rainbow Trout,180,80
Rainbow Trout,170,60
Rainbow Trout,190,100
Rainbow Trout,132,25
Rainbow Trout,122,19
Rainbow Trout,116,17
Rainbow Trout,130,26
Rainbow Trout,100,11
Rainbow Trout,125,24.5
Rainbow Trout,96,10
Rainbow Trout,148,39
Rainbow Trout,108,15
Rainbow Trout,120,19.5
Rainbow Trout,140,33
Rainbow Trout,122,21.5
Rainbow Trout,125,24
Rainbow Trout,84,5.5
Rainbow Trout,146,33
Rainbow Trout,150,40
Rainbow Trout,73,3.5
Rainbow Trout,104,12
Rainbow Trout,98,10.5
Rainbow Trout,91,7
Rainbow Trout,100,10
Rainbow Trout,80,5
Rainbow Trout,100,11
Rainbow Trout,99,8.5
Rainbow Trout,160,50
Rainbow Trout,96,6.5
Rainbow Trout,96,7.5
